date,temperature ,dp_Temperature,pressure ,wind_Direction,wind_Speed,KW
2020/1/1 0:00,15,-0.6,1014.8,80,5.7,14361.47
2020/1/1 1:00,13.3,1.1,1015.3,90,2.6,14433.9
2020/1/1 2:00,13.3,0,1015.6,0,0,14528.52
2020/1/1 3:00,12.2,0.6,1016.5,70,1.5,14613.77
2020/1/1 4:00,10.6,1.7,1016.5,120,1.5,14759.1
2020/1/1 5:00,10.6,1.1,1017.1,0,0,15273.02
2020/1/1 6:00,9.4,0.6,1017.4,0,0,15641.13
2020/1/1 7:00,7.8,2.2,1017.6,90,3.1,15740.17
2020/1/1 8:00,7.8,1.1,1017.3,0,0,15142
2020/1/1 9:00,7.2,1.1,1017,0,0,14785.42
2020/1/1 10:00,7.8,0.6,1016.7,140,1.5,14863.58
2020/1/1 11:00,7.2,0.6,1016.7,100,3.1,14807.6
2020/1/1 12:00,7.2,0,1016,110,2.1,14951.13
2020/1/1 13:00,6.1,0,1016.7,70,2.1,15023.23
2020/1/1 14:00,5.6,0,1017.4,90,2.1,14905.78
2020/1/1 15:00,5,0.6,1018,0,0,14764.98
2020/1/1 16:00,7.2,0,1017.8,100,2.1,14719.08
2020/1/1 17:00,10,0.6,1017.8,130,4.1,14741.53
2020/1/1 18:00,11.1,-0.6,1017.9,80,2.6,14856.3
2020/1/1 19:00,12.8,0,1016.1,110,2.6,14834.43
2020/1/1 20:00,13.9,0,1013.6,0,0,14708.75
2020/1/1 21:00,14.4,-0.6,1012.7,340,1.5,14514.85
2020/1/1 22:00,14.4,-0.6,1011,0,0,14199.15
2020/1/1 23:00,15,0.6,1010.8,250,2.1,14007.73
2020/1/2 0:00,15,0,1010.9,240,3.1,13836.33
2020/1/2 1:00,13.9,1.7,1011,0,0,13812.47
2020/1/2 2:00,12.2,3.3,1010.5,240,1.5,13850.55
2020/1/2 3:00,12.8,1.1,1010,290,3.1,13869.05
2020/1/2 4:00,10.6,2.8,1009.8,260,2.1,14164.58
2020/1/2 5:00,10,2.8,1009.2,260,2.1,14836
2020/1/2 6:00,9.4,3.3,1008.5,130,2.1,15382.7
2020/1/2 7:00,10,2.2,1009.2,50,2.6,15903.35
2020/1/2 8:00,9.4,3.9,1008.9,0,0,16566.83
2020/1/2 9:00,8.9,3.9,1008.7,0,0,16853.68
2020/1/2 10:00,7.2,3.9,1008.4,90,2.6,16959.63
2020/1/2 11:00,6.7,3.3,1008.8,70,1.5,17120.42
2020/1/2 12:00,6.1,3.3,1008.9,60,2.1,17267.92
2020/1/2 13:00,5.6,2.8,1009.4,120,2.1,17185.88
2020/1/2 14:00,5.6,2.8,1010,0,0,17758.35
2020/1/2 15:00,5.6,2.2,1010.3,90,2.6,17663.25
2020/1/2 16:00,7.2,2.8,1011.1,0,0,17351.22
2020/1/2 17:00,8.9,2.2,1012.5,0,0,16978.32
2020/1/2 18:00,11.1,2.8,1012.2,0,0,16733.2
2020/1/2 19:00,12.2,2.2,1011.7,0,0,16449.4
2020/1/2 20:00,14.4,2.2,1010.9,0,0,16210.08
2020/1/2 21:00,15.6,2.8,1010.4,,2.6,16870.5
2020/1/2 22:00,16.7,1.1,1010.9,260,5.1,18214.95
2020/1/2 23:00,17.8,-1.1,1010.9,270,5.1,18108.7
2020/1/3 0:00,16.7,0,1011.7,260,4.1,17986.65
2020/1/3 1:00,15.6,-0.6,1012.3,250,3.1,17978.92
2020/1/3 2:00,13.9,0,1013.1,250,2.1,17987.2
2020/1/3 3:00,13.9,-1.1,1013.6,0,0,18051.45
2020/1/3 4:00,13.9,0.6,1014.9,10,2.1,18234.05
2020/1/3 5:00,11.7,1.1,1015.8,0,0,18462.15
2020/1/3 6:00,9.4,2.2,1016.7,90,2.6,16568.8
2020/1/3 7:00,8.9,2.8,1017.6,80,2.1,16684.8
2020/1/3 8:00,7.8,2.8,1018,90,1.5,16651.92
2020/1/3 9:00,7.8,2.8,1018.8,50,1.5,16748.35
2020/1/3 10:00,6.7,1.7,1018.9,90,2.1,16808.63
2020/1/3 11:00,7.2,0.6,1019.3,80,1.5,16981.95
2020/1/3 12:00,6.7,0.6,1019.9,0,0,17107.95
2020/1/3 13:00,6.1,0.6,1020.7,120,2.6,17091.85
2020/1/3 14:00,6.1,0.6,1022.1,90,1.5,17024.72
2020/1/3 15:00,5.6,0.6,1023.1,0,0,16855.72
2020/1/3 16:00,7.8,0,1023.6,100,2.6,16611.38
2020/1/3 17:00,9.4,-1.7,1025.4,0,0,16314.48
2020/1/3 18:00,11.7,-1.7,1025.4,0,0,16026.08
2020/1/3 19:00,13.9,-1.7,1024.5,0,0,15892.75
2020/1/3 20:00,15.6,-1.7,1023.5,230,1.5,15676.48
2020/1/3 21:00,16.1,-2.8,1023.1,300,2.1,15457.35
2020/1/3 22:00,17.2,-2.8,1022.9,220,2.1,15118.3
2020/1/3 23:00,17.2,-3.9,1022.9,0,0,14815.32
2020/1/4 0:00,17.2,-3.9,1023.3,,1.5,14645.63
2020/1/4 1:00,15.6,-2.8,1023.9,250,1.5,14649.9
